AGE GROUP (YEARS),Period,NUM_WOMEN,STATE
80–84,2013–2014,1503,WA
80–84,2014–2015,131,ACT
80–84,2014–2015,2887,NSW
80–84,2014–2015,15,NT
80–84,2014–2015,2797,QLD
80–84,2014–2015,1646,SA
80–84,2014–2015,189,TAS
80–84,2014–2015,2941,VIC
80–84,2014–2015,1597,WA
80–84,2015–2016,170,ACT
80–84,2015–2016,3154,NSW
80–84,2015–2016,16,NT
80–84,2015–2016,2851,QLD
80–84,2015–2016,1689,SA
80–84,2015–2016,178,TAS
80–84,2015–2016,2979,VIC
80–84,2015–2016,1790,WA
80–84,2016-2017,184,ACT
80–84,2016-2017,3445,NSW
80–84,2016-2017,23,NT
80–84,2016-2017,2989,QLD
80–84,2016-2017,1726,SA
80–84,2016-2017,214,TAS
80–84,2016-2017,2995,VIC
80–84,2016-2017,1936,WA
85+,2008–2009,18,ACT
85+,2008–2009,502,NSW
85+,2008–2009,641,QLD
85+,2008–2009,242,SA
85+,2008–2009,45,TAS
85+,2008–2009,368,VIC
85+,2008–2009,200,WA
85+,2009–2010,19,ACT
85+,2009–2010,541,NSW
85+,2009–2010,1,NT
85+,2009–2010,648,QLD
85+,2009–2010,261,SA
85+,2009–2010,45,TAS
85+,2009–2010,384,VIC
85+,2009–2010,217,WA
85+,2010–2011,22,ACT
85+,2010–2011,510,NSW
85+,2010–2011,3,NT
85+,2010–2011,630,QLD
85+,2010–2011,271,SA
85+,2010–2011,44,TAS
85+,2010–2011,408,VIC
85+,2010–2011,259,WA
85+,2011–2012,29,ACT
85+,2011–2012,576,NSW
85+,2011–2012,4,NT
85+,2011–2012,707,QLD
85+,2011–2012,333,SA
85+,2011–2012,39,TAS
85+,2011–2012,519,VIC
85+,2011–2012,314,WA
85+,2012–2013,28,ACT
85+,2012–2013,667,NSW
85+,2012–2013,5,NT
85+,2012–2013,755,QLD
85+,2012–2013,403,SA
85+,2012–2013,42,TAS
85+,2012–2013,694,VIC
85+,2012–2013,344,WA
85+,2013–2014,29,ACT
85+,2013–2014,674,NSW
85+,2013–2014,6,NT
85+,2013–2014,808,QLD
85+,2013–2014,439,SA
85+,2013–2014,45,TAS
85+,2013–2014,732,VIC
85+,2013–2014,375,WA
85+,2014–2015,34,ACT
85+,2014–2015,735,NSW
85+,2014–2015,4,NT
85+,2014–2015,857,QLD
85+,2014–2015,468,SA
85+,2014–2015,34,TAS
85+,2014–2015,724,VIC
85+,2014–2015,442,WA
85+,2015–2016,28,ACT
85+,2015–2016,834,NSW
85+,2015–2016,5,NT
85+,2015–2016,918,QLD
85+,2015–2016,460,SA
85+,2015–2016,42,TAS
85+,2015–2016,761,VIC
85+,2015–2016,479,WA
85+,2016-2017,28,ACT
85+,2016-2017,890,NSW
85+,2016-2017,4,NT
85+,2016-2017,999,QLD
85+,2016-2017,447,SA
85+,2016-2017,42,TAS
85+,2016-2017,763,VIC
85+,2016-2017,520,WA
